City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Guerrero Negro,27.98,-114.06,64.45,87,100,16.06,MX,2020-06-23 03:05:13
274,Tshikapa,-6.42,20.8,64.17,31,0,3.02,CD,2020-06-23 03:05:13
275,Bratsk,56.13,101.61,77.0,41,84,6.71,RU,2020-06-23 03:05:13
276,Caceres,39.52,-6.37,72.0,48,0,3.87,ES,2020-06-23 03:05:13
277,Farrukhnagar,17.08,78.2,79.0,88,40,9.17,IN,2020-06-23 03:05:13
278,Almeirim,-1.52,-52.58,74.35,94,66,2.51,BR,2020-06-23 03:05:14
279,Longkou,37.65,120.33,71.22,79,100,9.53,CN,2020-06-23 03:05:14
280,Vilyuysk,63.76,121.62,77.58,40,14,8.97,RU,2020-06-23 03:05:14
281,Santo Amaro Da Imperatriz,-27.69,-48.78,66.2,100,90,2.24,BR,2020-06-23 03:05:14
282,Garelochhead,56.08,-4.83,57.2,93,90,8.05,GB,2020-06-23 03:00:37
283,Novyy Urengoy,66.08,76.63,49.03,73,99,2.3,RU,2020-06-23 03:05:14
284,Gat,31.61,34.76,70.0,81,0,4.18,IL,2020-06-23 03:05:01
285,Marsh Harbour,26.54,-77.06,81.77,83,7,5.97,BS,2020-06-23 03:05:15
286,Puerto Del Rosario,28.5,-13.86,71.6,73,75,12.75,ES,2020-06-23 03:05:15
287,Gravdal,68.12,13.5,54.39,93,85,3.85,NO,2020-06-23 03:05:15
288,Wonthaggi,-38.6,145.59,60.01,81,38,6.87,AU,2020-06-23 03:05:15
289,Quatre Cocos,-20.21,57.76,71.6,83,40,8.05,MU,2020-06-23 03:05:15
290,Clinton,42.59,-82.92,75.99,100,75,9.17,US,2020-06-23 03:05:16
291,Lompoc,34.64,-120.46,60.8,77,4,11.41,US,2020-06-23 03:00:47
292,Ginda,30.69,78.49,80.6,83,40,2.1,IN,2020-06-23 03:05:16
293,Macherla,16.48,79.43,87.31,56,21,17.96,IN,2020-06-23 03:05:16
294,Kautokeino,69.01,23.04,53.2,61,34,4.76,NO,2020-06-23 03:05:16
295,Berlevag,70.86,29.09,38.12,79,99,4.07,NO,2020-06-23 03:05:17
296,Ciudad Guayana,8.35,-62.65,77.0,95,30,4.0,VE,2020-06-23 03:05:17
297,Lebu,-37.62,-73.65,47.93,80,25,7.74,CL,2020-06-23 03:05:17
298,Trincomalee,8.57,81.23,84.38,72,78,13.33,LK,2020-06-23 03:05:17
